'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupProchePt1';'SupProchePt2';'SupProchePt3';'SupProchePt4';'IdAllSupProche'
'900';'CRS3035RES200mN2051600E4259000';'LAEA200M_N10258E21295';'9.25965';'41.5635';'9.26204';'41.5635';'9.26201';'41.5653';'9.25963';'41.5653';'1922268-1281';'1922268-1182';'1922268-1199';'1922268-1296';'1922268'
'914';'CRS3035RES200mN2051800E4240600';'LAEA200M_N10259E21203';'9.03992';'41.5634';'9.04231';'41.5634';'9.04228';'41.5652';'9.03989';'41.5652';'1676337-7482';'273352-7469';'1766847-7391';'1766847-7420';'590337-273352-527817-773837-1676337-654206-1766847'
'925';'CRS3035RES200mN2051800E4260000';'LAEA200M_N10259E21300';'9.27157';'41.5654';'9.27395';'41.5654';'9.27393';'41.5672';'9.27154';'41.5672';'1922268-443';'1922268-388';'1922268-479';'1922268-525';'1922268'
'926';'CRS3035RES200mN2051800E4260200';'LAEA200M_N10259E21301';'9.27395';'41.5654';'9.27634';'41.5654';'9.27632';'41.5672';'9.27393';'41.5672';'1922268-352';'1922268-342';'1922268-442';'1922268-450';'1922268'
'927';'CRS3035RES200mN2051800E4260400';'LAEA200M_N10259E21302';'9.27634';'41.5654';'9.27873';'41.5654';'9.27871';'41.5672';'9.27632';'41.5672';'1922268-360';'1922268-403';'1922268-491';'1922268-456';'1922268'
'936';'CRS3035RES200mN2052000E4240400';'LAEA200M_N10260E21202';'9.03750';'41.5652';'9.03989';'41.5652';'9.03986';'41.5670';'9.03747';'41.5670';'1676337-7220';'654206-7306';'654206-7232';'654206-7164';'590337-273352-527817-773837-1676337-654206-1766847'
'937';'CRS3035RES200mN2052000E4240600';'LAEA200M_N10260E21203';'9.03989';'41.5652';'9.04228';'41.5652';'9.04225';'41.5670';'9.03986';'41.5670';'1766847-7325';'1766847-7295';'1766847-7200';'1766847-7231';'273352-1766847'
'940';'CRS3035RES200mN2052000E4255000';'LAEA200M_N10260E21275';'9.21184';'41.5667';'9.21423';'41.5667';'9.21420';'41.5685';'9.21182';'41.5685';'666487-4297';'666487-4395';'666487-4384';'666487-4286';'1828622-666487'
'941';'CRS3035RES200mN2052000E4255200';'LAEA200M_N10260E21276';'9.21423';'41.5667';'9.21661';'41.5667';'9.21659';'41.5686';'9.21420';'41.5685';'666487-4493';'666487-4591';'666487-4581';'666487-4482';'1828622-445750-666487'
'945';'CRS3035RES200mN2052000E4257400';'LAEA200M_N10260E21287';'9.24050';'41.5669';'9.24289';'41.5670';'9.24286';'41.5688';'9.24048';'41.5687';'1922268-2913';'1922268-2817';'1922268-2838';'1922268-2933';'1922268-445750'
'949';'CRS3035RES200mN2052000E4259000';'LAEA200M_N10260E21295';'9.25960';'41.5671';'9.26199';'41.5671';'9.26197';'41.5689';'9.25958';'41.5689';'1922268-1384';'1922268-1293';'1922268-1338';'1922268-1426';'1922268'
'950';'CRS3035RES200mN2052000E4259200';'LAEA200M_N10260E21296';'9.26199';'41.5671';'9.26438';'41.5671';'9.26436';'41.5689';'9.26197';'41.5689';'1922268-1203';'1922268-1115';'1922268-1166';'1922268-1251';'1922268'
'952';'CRS3035RES200mN2052000E4259800';'LAEA200M_N10260E21299';'9.26916';'41.5671';'9.27154';'41.5672';'9.27152';'41.5690';'9.26914';'41.5690';'1922268-720';'1922268-662';'1922268-747';'1922268-802';'1922268'
'956';'CRS3035RES200mN2052200E4250600';'LAEA200M_N10261E21253';'9.15927';'41.5681';'9.16166';'41.5681';'9.16164';'41.5699';'9.15925';'41.5699';'1828622-296';'1828622-285';'1828622-186';'1828622-202';'1828622-666487'
'959';'CRS3035RES200mN2052200E4253200';'LAEA200M_N10261E21266';'9.19032';'41.5683';'9.19271';'41.5684';'9.19269';'41.5702';'9.19030';'41.5702';'666487-2498';'666487-2596';'666487-2586';'666487-2487';'1828622-666487'
'960';'CRS3035RES200mN2052200E4255000';'LAEA200M_N10261E21275';'9.21182';'41.5685';'9.21420';'41.5685';'9.21418';'41.5703';'9.21179';'41.5703';'666487-4277';'666487-4376';'666487-4370';'666487-4271';'1828622-666487'
'961';'CRS3035RES200mN2052200E4255200';'LAEA200M_N10261E21276';'9.21420';'41.5685';'9.21659';'41.5686';'9.21657';'41.5704';'9.21418';'41.5703';'666487-4475';'666487-4574';'666487-4568';'666487-4469';'1828622-445750-666487'
'962';'CRS3035RES200mN2052200E4255800';'LAEA200M_N10261E21279';'9.22137';'41.5686';'9.22376';'41.5686';'9.22373';'41.5704';'9.22135';'41.5704';'445750-4360';'445750-4275';'445750-4225';'445750-4311';'445750'
'967';'CRS3035RES200mN2052400E4250800';'LAEA200M_N10262E21254';'9.16164';'41.5699';'9.16403';'41.5699';'9.16400';'41.5717';'9.16161';'41.5717';'1828622-144';'666487-225';'666487-192';'666487-93';'1828622-666487'
'968';'CRS3035RES200mN2052400E4251000';'LAEA200M_N10262E21255';'9.16403';'41.5699';'9.16641';'41.5700';'9.16639';'41.5718';'9.16400';'41.5717';'666487-313';'666487-405';'666487-390';'666487-291';'1828622-666487'
'974';'CRS3035RES200mN2052400E4255200';'LAEA200M_N10262E21276';'9.21418';'41.5703';'9.21657';'41.5704';'9.21655';'41.5722';'9.21416';'41.5722';'666487-4467';'666487-4566';'666487-4565';'666487-4466';'1828622-445750-666487'
