'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupProchePt1';'SupProchePt2';'SupProchePt3';'SupProchePt4';'IdAllSupProche'
'702';'CRS3035RES200mN2049400E4224800';'LAEA200M_N10247E21124';'8.85167';'41.5397';'8.85406';'41.5397';'8.85402';'41.5415';'8.85164';'41.5415';'264648-508';'264648-409';'264648-412';'264648-510';'264648'
'708';'CRS3035RES200mN2049400E4253600';'LAEA200M_N10247E21268';'9.19543';'41.5431';'9.19781';'41.5431';'9.19779';'41.5449';'9.19540';'41.5449';'1828622-4240';'1828622-4309';'1828622-4237';'1828622-4167';'1828622-666487'
'713';'CRS3035RES200mN2049400E4259600';'LAEA200M_N10247E21298';'9.26705';'41.5436';'9.26943';'41.5436';'9.26941';'41.5455';'9.26703';'41.5454';'775252-1189';'775252-1109';'775252-1176';'775252-1249';'775252'
'714';'CRS3035RES200mN2049400E4259800';'LAEA200M_N10247E21299';'9.26943';'41.5436';'9.27182';'41.5437';'9.27180';'41.5455';'9.26941';'41.5455';'775252-1031';'775252-962';'775252-1035';'775252-1103';'775252'
'717';'CRS3035RES200mN2049400E4261000';'LAEA200M_N10247E21305';'9.28376';'41.5437';'9.28615';'41.5438';'9.28613';'41.5456';'9.28374';'41.5456';'775252-796';'775252-856';'776421-844';'775252-888';'775252-776421'
'718';'CRS3035RES200mN2049400E4261200';'LAEA200M_N10247E21306';'9.28615';'41.5438';'9.28853';'41.5438';'9.28851';'41.5456';'9.28613';'41.5456';'776421-771';'776421-678';'776421-650';'776421-747';'775252-776421'
'722';'CRS3035RES200mN2049600E4224800';'LAEA200M_N10248E21124';'8.85164';'41.5415';'8.85402';'41.5415';'8.85399';'41.5434';'8.85160';'41.5433';'264648-533';'264648-439';'264648-488';'264648-572';'264648'
'726';'CRS3035RES200mN2049600E4253200';'LAEA200M_N10248E21266';'9.19063';'41.5448';'9.19302';'41.5449';'9.19299';'41.5467';'9.19061';'41.5467';'1828622-3828';'1828622-3890';'1828622-3816';'1828622-3749';'1828622-666487'
'727';'CRS3035RES200mN2049600E4253400';'LAEA200M_N10248E21267';'9.19302';'41.5449';'9.19540';'41.5449';'9.19538';'41.5467';'9.19299';'41.5467';'1828622-3956';'1828622-4025';'1828622-3954';'1828622-3883';'1828622-666487'
'728';'CRS3035RES200mN2049600E4253600';'LAEA200M_N10248E21268';'9.19540';'41.5449';'9.19779';'41.5449';'9.19777';'41.5467';'9.19538';'41.5467';'1828622-4095';'1828622-4167';'1828622-4098';'1828622-4025';'1828622-666487'
'729';'CRS3035RES200mN2049600E4253800';'LAEA200M_N10248E21269';'9.19779';'41.5449';'9.20018';'41.5449';'9.20015';'41.5467';'9.19777';'41.5467';'1828622-4240';'1828622-4314';'1828622-4247';'1828622-4172';'1828622-666487'
'730';'CRS3035RES200mN2049600E4254000';'LAEA200M_N10248E21270';'9.20018';'41.5449';'9.20257';'41.5449';'9.20254';'41.5468';'9.20015';'41.5467';'1828622-4387';'1828622-4462';'1828622-4394';'1828622-4321';'774669-1828622-666487'
'731';'CRS3035RES200mN2049600E4254200';'LAEA200M_N10248E21271';'9.20257';'41.5449';'9.20495';'41.5450';'9.20493';'41.5468';'9.20254';'41.5468';'1828622-4539';'1828622-4613';'1828622-4551';'1828622-4472';'774669-1828622-666487'
'736';'CRS3035RES200mN2049600E4259800';'LAEA200M_N10248E21299';'9.26941';'41.5455';'9.27180';'41.5455';'9.27178';'41.5473';'9.26939';'41.5473';'775252-1179';'775252-1115';'775252-1196';'775252-1255';'775252'
'737';'CRS3035RES200mN2049600E4260000';'LAEA200M_N10248E21300';'9.27180';'41.5455';'9.27419';'41.5455';'9.27417';'41.5473';'9.27178';'41.5473';'775252-1056';'775252-1004';'775252-1093';'775252-1141';'775252'
'739';'CRS3035RES200mN2049600E4261000';'LAEA200M_N10248E21305';'9.28374';'41.5456';'9.28613';'41.5456';'9.28610';'41.5474';'9.28372';'41.5474';'776421-935';'776421-836';'776421-838';'776421-937';'775252-776421'
'740';'CRS3035RES200mN2049600E4261200';'LAEA200M_N10248E21306';'9.28613';'41.5456';'9.28851';'41.5456';'9.28849';'41.5474';'9.28610';'41.5474';'776421-737';'776421-638';'776421-640';'776421-739';'775252-776421'
'748';'CRS3035RES200mN2049800E4259200';'LAEA200M_N10249E21296';'9.26223';'41.5472';'9.26462';'41.5472';'9.26460';'41.5490';'9.26221';'41.5490';'775252-1747';'775252-1670';'775252-1736';'775252-1811';'1922268-775252'
